WMO_index,Station,Latitude,Longitude,Region
30622,Качуг,53.9666666667,105.9,14
30978,Кайластуй,49.8333333333,118.3833333333,11
28696,Калачинск,55.0194444444,74.6061111111,50
30469,Калакан,55.1166666667,116.7666666667,11
29822,Камень-на-Оби,53.8166666667,81.2666666667,1
28449,Каменск-Уралский,56.4333333333,61.8666666667,12
25745,Каменское,62.4672222222,166.2125,74
28451,Камыслов,56.85,62.7166666667,12
25469,Канчалан,65.1833333333,176.7666666667,78
31102,Канку,57.65,125.9666666667,54
29581,Канск,56.2016666667,95.6483333333,10
36073,Кантегир,52.2638888889,90.7916666667,10
29814,Карасук,53.7333333333,78.0222222222,49
29874,Каратузское,53.5902777778,92.8822222222,10
20978,Караул,70.0833333333,83.1666666667,10
29122,Каргасок,59.0652777778,80.8466666667,24
28941,Карталы,53.05,60.6666666667,33
30853,Карымская,51.6333333333,114.3166666667,11
30337,Казачинск,56.3166666667,107.6166666667,14
29374,Казачинское,57.665,93.2505555556,10
29876,Казыр,53.6861111111,94.2041666667,10
23774,Келлог,62.4833333333,86.2777777778,10
29562,Кемчуг,56.1,91.6666666667,10
29642,Кемерово,55.2333333333,86.1166666667,76
29645,Кемеровский,55.25,86.2166666667,76
23699,Кербо,62.7125,101.1161111111,10
21636,Кигилях,73.3358333333,139.8688888889,
24933,Килеер,60.95,119.3,54
30230,Киренск,57.7666666667,108.0666666667,14
31878,Кировский,45.1,133.5,82
28009,Кирс,59.35,52.25,7
24606,Кислокан,63.59,103.95,10
30925,Кяхта,50.3638888889,106.4516666667,31
21921,Кюсюр,70.6833333333,127.4,54
32389,Ключи,56.3166666667,160.8333333333,74
36021,Ключи,52.2625,79.1986111111,1
29626,Коченево,55.0327777778,82.2388888889,49
29724,Кочки,54.3361111111,80.4722222222,49
23748,Когалым,62.1947222222,74.5369444444,6
29231,Колпасево,58.3166666667,82.95,24
24894,Колымская (24894-0),61.85,147.6666666667,63
25121,Колымская (25121-0),68.7333333333,158.7166666667,54
29631,Колывань,55.3222222222,82.7388888889,49
24928,Комака,60.2666666667,111.7333333333,54
29759,Коммунар,54.3333333333,89.2833333333,21
31561,Комсомолск-на-Амуре,50.5333333333,137.0333333333,77
25129,Константиновская,68.15,161.1666666667,78
25503,Коркодон,64.75,153.9666666667,63
23862,Корлики,61.5361111111,82.4230555556,6
36259,Кош-Агач,50.0075,88.6730555556,70
23207,Коткино,67.0283333333,51.1411111111,47
29532,Козевниково,56.2555555556,83.9638888889,24
29649,Крапивино,55.0066666667,86.8116666667,76
29813,Красноозерск,53.9888888889,79.2533333333,49
23465,Красноселькупск,65.7066666667,82.4547222222,69
28434,Красноуфимск,56.65,57.7833333333,12
30935,Красный Чикой,50.3666666667,108.75,11
31845,Красный Яр,46.5333333333,135.3166666667,82
29524,Крещенка,55.8597222222,80.0602777778,49
24763,Крест-Хальджай,62.8166666667,134.4333333333,54
24737,Крестях,62.2666666667,116.15,54
32519,Кроноки,54.6166666667,161.2,74
30675,Ксеньевская,53.55,118.7166666667,11
28116,Кудымкар,59.0166666667,54.65,15
21937,Куйга,70.0333333333,135.6666666667,54
28165,Куминская,58.7166666667,66.0833333333,6
28326,Кунгур,57.4166666667,56.9333333333,15
36325,Кунгур-Тук,50.6030555556,97.52,58
29706,Купино,54.3861111111,77.3097222222,49
31632,Кур,49.9333333333,134.6333333333,77
28661,Курган,55.4566666667,65.4011111111,4
28659,Куртамыш,54.9166666667,64.4333333333,4
23788,Кузьмовка,62.3133333333,92.1152777778,10
29849,Кузедеево,53.3408333333,87.1841666667,76
28238,Кын,57.8333333333,58.65,15
30949,Кыра,49.5666666667,111.9666666667,11
29405,Кыстовка,56.6061111111,76.5633333333,49
36096,Кызыл,51.7166666667,94.5,58
HZR,Хужир,53.2000007629,107.3300018311,14
KOT,Остров Котельный,76.0,137.8699951172,
KRS,Красноярск,56.0,92.8799972534,10
25627,Лабазная,63.3,158.5,63
23867,Ларьяк,61.1,80.25,6
29768,Лебяжье,54.1916666667,91.5833333333,10
31710,Ленинское,47.95,132.6166666667,72
24923,Ленск,60.7166666667,114.8833333333,54
31788,Лермонтовка,47.15,134.3333333333,77
28064,Леуси,59.6333333333,65.7166666667,6
31263,Локсак,54.7333333333,130.45,38
29253,Лосиноборское,58.4555555556,89.4694444444,10
23708,Лунь,62.2333333333,52.4833333333,8
28234,Лысьва,58.1166666667,57.7833333333,15
30814,Листвянка,51.8333,104.8833,14
30074,Мача,59.9333333333,117.6,54
25904,Мадаун,60.6,150.7,63
25913,Магадан,59.55,150.7833333333,63
31295,Магдагачи,53.4666666667,125.8166666667,38
28838,Магнитогорск,53.35,59.0833333333,33
29209,Майск,57.8111111111,77.2166666667,24
28666,Макусино,55.25,67.3,4
31583,Малиновка,49.7833333333,129.9166666667,38
31884,Малиново,45.4166666667,134.2666666667,82
20744,Мале Кармакулы (20744-0),72.3744444444,52.7161111111,27
20744,Мале Кармакулы (20744-1),72.3666666667,52.7,
30157,Мама,58.3166666667,112.8666666667,14
30252,Мамакан,57.8166666667,114.0166666667,14
23032,Маресале,69.7141666667,66.8144444444,69
29551,Мариинск,56.1833333333,87.6833333333,76
25551,Марково,64.6833333333,170.4166666667,78
29736,Маслянино,54.3355555556,84.2083333333,49
31443,Мазаново,51.6333333333,128.8166666667,38
28925,Мелеуз,52.9327777778,55.9194444444,83
28517,Мензелинск,55.7186111111,53.0694444444,23
20087,Мгмс Им. Г.Ф. Ушакова,79.5513888889,90.5722222222,10
29571,Минино,56.0666666667,92.7333333333,10
29866,Минусинск,53.7166666667,91.7,10
24726,Мирнвы,62.5333333333,113.8666666667,54
28741,Мирный (28741-0),54.55,60.3,33
30673,Могоча,53.75,119.7333333333,11
30843,Могзон,51.7333333333,112.0,11
29332,Молчаново,57.5758333333,83.7602777778,24
30802,Монды,51.6833333333,100.9833333333,31
29632,Москово,55.3166666667,83.6,49
29276,Мотыгино,58.1836111111,94.7377777778,10
28409,Мозга,56.4333333333,52.2,60
36278,Мугур-Аксы,50.3816666667,90.4338888889,58
28612,Муслюмово,55.3094444444,53.1844444444,23
24807,Муторай,61.3277777778,100.4763888889,10
23426,Музи,65.4044444444,64.7033333333,69
20094,мыс Баранова,79.28,101.6219444444,10
25062,мыс Биллингса,69.8833333333,175.7666666667,
23114,мыс Константиновский,68.5405555556,55.4966666667,47
32213,мыс Лопатка,50.8666666667,156.6833333333,
20476,мыс Стерлегова,75.4038888889,88.9105555556,
32099,мыс Терпения,48.65,144.7333333333,53
25399,мыс Уелен,66.1627777778,-169.8347222222,78
25282,мыс Ванкарем,67.8333333333,-175.8333333333,78
20353,мыс Зелания,76.95,68.55,
MRK,Марково,64.6800003052,170.4199981689,78
23445,Надым,65.4805555556,72.6894444444,69
30493,Нагорный,55.9666666667,124.8833333333,54
24713,Наканно,62.8833333333,108.4333333333,14
24753,Намцы,62.7333333333,129.6666666667,54
29023,Напас,59.85,81.95,24
23205,Нарьян-Мар,67.625,53.0175,47
29561,Назарово,56.0333333333,90.3166666667,10
29068,Назимово,59.5130555556,90.9283333333,10
28588,Назывоевск,55.5666666667,71.3666666667,50
31152,Нелькан,57.65,136.15,77
29752,Ненастная,54.75,88.8166666667,21
24585,Нера,64.55,143.12,54
30879,Нерчинский Завод,51.3166666667,119.6166666667,11
30768,Нерчинск,52.0,116.5333333333,11
31369,Николаевск-на-Амуре,53.1475,140.6938888889,77
30433,Нижнеангарск,55.7911111111,109.5805555556,31
23741,Нижнесортымск,62.75,71.6666666667,6
29698,Нижнеудинск,54.8833333333,99.0333333333,14
36091,Нижнеусинское,52.2566666667,93.0133333333,10
23471,Нижневартовск,60.9166666667,76.6,6
