WMO_index,lat,lng,region_id
25062,69.8833333333,175.7666666667,
23114,68.5405555556,55.4966666667,47
32213,50.8666666667,156.6833333333,
20476,75.4038888889,88.9105555556,
32099,48.65,144.7333333333,53
25399,66.1627777778,-169.8347222222,78
25282,67.8333333333,-175.8333333333,78
20353,76.95,68.55,
MRK,64.6800003052,170.4199981689,78
23445,65.4805555556,72.6894444444,69
30493,55.9666666667,124.8833333333,54
24713,62.8833333333,108.4333333333,14
24753,62.7333333333,129.6666666667,54
29023,59.85,81.95,24
23205,67.625,53.0175,47
29561,56.0333333333,90.3166666667,10
29068,59.5130555556,90.9283333333,10
28588,55.5666666667,71.3666666667,50
31152,57.65,136.15,77
29752,54.75,88.8166666667,21
24585,64.55,143.12,54
30879,51.3166666667,119.6166666667,11
30768,52.0,116.5333333333,11
31369,53.1475,140.6938888889,77
30433,55.7911111111,109.5805555556,31
23741,62.75,71.6666666667,6
29698,54.8833333333,99.0333333333,14
36091,52.2566666667,93.0133333333,10
23471,60.9166666667,76.6,6
28240,57.8833333333,60.0666666667,12
23724,62.4333333333,60.8666666667,6
24639,63.2833333333,118.3333333333,54
32053,51.9166666667,143.1333333333,
23078,69.3472222222,88.2638888889,10
23073,69.4,88.06,10
31388,52.35,129.9166666667,38
29367,56.9697222222,90.6830555556,10
29846,53.8166666667,86.8833333333,76
30829,51.1016666667,106.6416666667,31
35015,52.0833333333,53.6333333333,81
29634,55.0888888889,82.9,49
29634,54.9705555556,82.9530555556,49
29638,54.9055555556,82.9569444444,49
23242,67.6877777778,72.8841666667,69
23358,66.0741666667,76.5005555556,69
29203,58.5811111111,76.5105555556,24
23657,63.1908333333,75.2797222222,69
28319,57.0833333333,54.75,15
28533,56.05,59.5833333333,33
23345,66.6244444444,72.8961111111,69
NGV,59.5800018311,150.7799987793,63
NKA,53.1500015259,140.6999969482,77
29842,53.8952,87.1017,76
31702,49.0,131.0833333333,72
28797,54.2,72.9666666667,50
32010,53.5,142.9,53
28321,57.7166666667,55.3833333333,15
31088,59.3666666667,143.2,
24871,61.8666666667,135.5,54
24688,63.25,143.15,54
31373,53.0,128.65,38
23734,62.45,66.05,6
23305,66.2583333333,52.5625,8
24944,60.4,120.4166666667,54
24944,60.3666666667,120.4166666667,54
24947,60.3666666667,120.4166666667,54
29974,52.8041666667,93.2402777778,10
24125,68.5,112.4333333333,54
24125,68.5,112.4333333333,54
30961,50.95,115.5833333333,11
25428,65.2333333333,160.5333333333,78
28698,55.0166666667,73.3833333333,50
28698,54.9333333333,73.4,50
28695,54.9333333333,73.4,50
25715,62.5166666667,155.8,63
36231,50.7458333333,86.1419444444,70
32077,50.2333333333,142.5833333333,53
29726,54.3677777778,81.8916666667,49
35121,51.6925,55.0783333333,81
29998,52.5016666667,99.8166666667,31
30328,56.05,105.8333333333,14
35138,51.0666666667,58.6,81
32618,55.2,165.9833333333,
20674,73.5136111111,80.4063888889,10
21432,76.0,137.8666666667,
20069,79.4908333333,76.9805555556,10
21982,70.9833333333,-178.65,78
25138,68.1166666667,164.1666666667,78
32594,51.4833333333,156.4833333333,
32333,57.65,163.2333333333,
OLN,68.5,112.4300003052,54
OMS,54.9300003052,73.4000015259,50
23443,65.8488888889,74.5080555556,69
